pert,target_var,pct_change,status,knockdown_ok
ELP6,ELP6,-83.94293975830078,ok,True
EMC1,EMC1,-96.20571899414062,ok,True
EMC3,EMC3,-70.25409698486328,ok,True
EMC4,EMC4,-97.14431762695312,ok,True
EMC7,EMC7,-91.30272674560547,ok,True
ENO1,ENO1,-96.83716583251953,ok,True
EP400,EP400,-89.60006713867188,ok,True
EPRS,EPRS,-92.72989654541016,ok,True
ERAL1,ERAL1,-89.40679168701172,ok,True
ERCC2,ERCC2,-96.64157104492188,ok,True
ERCC3,ERCC3,-94.25917053222656,ok,True
ERH,ERH,-59.75596618652344,ok,True
ERVW-1,,,target_not_measured,False
ESF1,ESF1,-74.90546417236328,ok,True
ESPL1,ESPL1,-41.254642486572266,ok,True
ESPN,,,target_not_measured,False
ETF1,ETF1,-88.6207275390625,ok,True
EWSR1,EWSR1,-75.34849548339844,ok,True
EXOC1,EXOC1,-89.34521484375,ok,True
EXOC2,EXOC2,-93.14552307128906,ok,True
EXOC3,EXOC3,5.734941005706787,ok,False
EXOC4,EXOC4,-98.67439270019531,ok,True
EXOC5,EXOC5,-83.5511474609375,ok,True
EXOC7,EXOC7,-100.0,ok,True
EXOSC1,EXOSC1,-79.99126434326172,ok,True
EXOSC2,EXOSC2,-86.36299896240234,ok,True
EXOSC3,EXOSC3,-81.29460906982422,ok,True
EXOSC4,EXOSC4,-83.9150390625,ok,True
EXOSC5,EXOSC5,-90.20568084716797,ok,True
EXOSC6,EXOSC6,-80.28385925292969,ok,True
EXOSC7,EXOSC7,-82.77713012695312,ok,True
EXOSC8,EXOSC8,-91.24775695800781,ok,True
EXOSC9,EXOSC9,-75.17206573486328,ok,True
EXOSC10,EXOSC10,-78.32369232177734,ok,True
FAF2,FAF2,-94.81623077392578,ok,True
FAM32A,FAM32A,-77.50041961669922,ok,True
FAM50A,FAM50A,-100.0,ok,True
FAM72D,,,target_not_measured,False
FAM136A,FAM136A,-86.95191955566406,ok,True
FAM207A,FAM207A,-84.4735336303711,ok,True
FAM229A,,,target_not_measured,False
FARS2,FARS2,-94.22933959960938,ok,True
FARSA,FARSA,-94.41986083984375,ok,True
FARSB,FARSB,-94.67267608642578,ok,True
FASTKD5,FASTKD5,-91.18443298339844,ok,True
FAU,FAU,-78.85002899169922,ok,True
FBL,FBL,-96.05052185058594,ok,True
FBLIM1,,,target_not_measured,False
FBXO5,FBXO5,-61.96137619018555,ok,True
FCF1,FCF1,-88.08910369873047,ok,True
FDXR,FDXR,-91.7136001586914,ok,True
FEN1,FEN1,-92.68238067626953,ok,True
FGFR1OP,FGFR1OP,-92.76344299316406,ok,True
FNBP4,FNBP4,-91.11248016357422,ok,True
FNTA,FNTA,-85.20098114013672,ok,True
FNTB,,,target_not_measured,False
FOLR3,,,target_not_measured,False
FOXD4,,,target_not_measured,False
FOXL2,FOXL2,-85.88909912109375,ok,True
FRG2,,,target_not_measured,False
FTSJ3,FTSJ3,-55.35661315917969,ok,True
FXN,FXN,-95.5046157836914,ok,True
GAB2,GAB2,-64.47058868408203,ok,True
GABPA,GABPA,-57.3806037902832,ok,True
GAK,GAK,-40.921932220458984,ok,True
GAPDH,GAPDH,-78.0199203491211,ok,True
GAR1,GAR1,-88.63372802734375,ok,True
GARS,GARS,-69.68394470214844,ok,True
GATA1,GATA1,-84.8025131225586,ok,True
GBF1,GBF1,-88.305908203125,ok,True
GCOM1,,,target_not_measured,False
GEMIN4,GEMIN4,-100.0,ok,True
GEMIN5,GEMIN5,-96.46559143066406,ok,True
GEMIN6,GEMIN6,-79.86778259277344,ok,True
GEMIN7,GEMIN7,-92.01823425292969,ok,True
GEMIN8,GEMIN8,-91.71817016601562,ok,True
GET1,GET1,-58.96554946899414,ok,True
GET3,GET3,-84.16594696044922,ok,True
GFER,GFER,-85.43449401855469,ok,True
GFM1,GFM1,-96.1316146850586,ok,True
GGPS1,GGPS1,-86.02125549316406,ok,True
GINS1,GINS1,-92.09275817871094,ok,True
GINS2,GINS2,-91.54405212402344,ok,True
GINS3,GINS3,-94.84827423095703,ok,True
GINS4,GINS4,-91.61634826660156,ok,True
GIT2,GIT2,-17.415924072265625,ok,False
GJA3,,,target_not_measured,False
GLE1,GLE1,-86.41622161865234,ok,True
